"day","temp","gen","size","n","diff","surv","growth","eggs","offspring","size.offspring"
13,-0.642431366780962,"A3",-0.179842439139938,-0.990161519241009,3.0269212962963,0,NA,NA,NA,NA
13,-0.642431366780962,"A3",-0.229724949475957,-0.990161519241009,3.0269212962963,1,0.132147472909003,NA,NA,NA
13,-0.642431366780962,"A4",0.917572788252499,-1.20290045644646,3.03653935185185,1,0.0109774086454716,4,5,-1.67631774922053
13,-0.642431366780962,"A4",0.51851270556434,-1.20290045644646,3.03653935185185,1,0,6,NA,NA
13,-0.642431366780962,"A4",-1.02784511485227,-1.20290045644646,3.03653935185185,1,0.0548870432273582,NA,NA,NA
16,-0.642431366780962,"A1",0.817807767580459,-0.777422582035553,4.01229166666667,1,0.149540474583312,3,1,-1.42690519754043
16,-0.642431366780962,"A1",-0.578902521828096,-0.777422582035553,4.01229166666667,1,0.0664624331481385,NA,NA,NA
16,-0.642431366780962,"A1",-0.179842439139938,-0.777422582035553,4.01229166666667,1,0.0747702372916559,NA,NA,NA
16,-0.642431366780962,"A2",1.76557546396484,2.36047674174492,4.10011574074074,1,0,4,4,-1.72620025955655
16,-0.642431366780962,"A2",-1.47678770787645,2.36047674174492,4.10011574074074,1,0.0894283697953422,NA,NA,NA
16,-0.642431366780962,"A2",-0.279607459811977,2.36047674174492,4.10011574074074,1,0.0325194071983063,NA,NA,NA
16,-0.642431366780962,"L",-1.37702268720441,1.78874084800525,3.9553587962963,1,0.117983396880112,NA,NA,NA
16,-0.642431366780962,"L",-1.42690519754043,1.78874084800525,3.9553587962963,0,NA,NA,NA,NA
16,-0.642431366780962,"L",0.119452622876181,1.78874084800525,3.9553587962963,1,0.0337095419657462,4,NA,NA
16,-0.642431366780962,"A3",0.318982664220261,-1.09653098784374,3.95931712962963,1,0.0589327213996521,5,5,-1.82596528022859
16,-0.642431366780962,"A3",-1.52667021821247,-1.09653098784374,3.95931712962963,1,0.185217124398907,NA,NA,NA
16,-0.642431366780962,"A3",0.269100153884241,-1.09653098784374,3.95931712962963,1,0.0589327213996521,NA,NA,NA
16,-0.642431366780962,"A4",1.11710282959658,-1.20290045644646,4.00831018518519,1,0.0166321126825634,4,4,-1.57655272854849
16,-0.642431366780962,"A4",-0.678667542500136,-1.20290045644646,4.00831018518519,1,0.0831605634128171,NA,NA,NA
16,-0.642431366780962,"A4",-1.67631774922053,-1.20290045644646,4.00831018518519,0,NA,NA,NA,NA
20,-0.642431366780962,"A1",-0.129959928803918,-0.524795094104075,2.91760416666667,1,0.0685493948373738,NA,NA,NA
20,-0.642431366780962,"A1",-1.52667021821247,-0.524795094104075,2.91760416666667,1,0.0913991931164982,NA,NA,NA
20,-0.642431366780962,"A1",0.668160236572399,-0.524795094104075,2.91760416666667,1,0.0114248991395624,8,1,-1.37702268720441
20,-0.642431366780962,"A2",-0.0301949081318777,1.52281717649843,2.8293287037037,1,0.0235627152756755,NA,NA,NA
20,-0.642431366780962,"A2",-1.32714017686839,1.52281717649843,2.8293287037037,NA,NA,NA,NA,NA
20,-0.642431366780962,"A2",0.169335133212202,1.52281717649843,2.8293287037037,1,0.0589067881891889,1,NA,NA
20,-0.642431366780962,"L",-0.628785032164116,1.25689350499162,2.94416666666667,1,0.11321822813473,NA,NA,NA
20,-0.642431366780962,"L",-0.429254990820036,1.25689350499162,2.94416666666667,1,0,NA,NA,NA
20,-0.642431366780962,"L",0.867690277916479,1.25689350499162,2.94416666666667,1,0.0566091140673649,3,NA,NA
20,-0.642431366780962,"A3",-0.379372480484017,-0.790718765610894,3.13077546296296,1,0.0958229050754347,NA,NA,NA
20,-0.642431366780962,"A3",-1.87584779056461,-0.790718765610894,3.13077546296296,1,0.0745289261697825,NA,NA,NA
20,-0.642431366780962,"A3",0.817807767580459,-0.790718765610894,3.13077546296296,1,-0.0638819367169565,7,NA,NA
20,-0.642431366780962,"A4",-1.62643523888451,-1.04334625354237,3.09893518518519,1,0.0968074458072516,NA,NA,NA
20,-0.642431366780962,"A4",-1.62643523888451,-1.04334625354237,3.09893518518519,1,0.0968074458072516,NA,NA,NA
20,-0.642431366780962,"A4",0.817807767580459,-1.04334625354237,3.09893518518519,1,0.129076594409669,2,NA,NA
23,-0.642431366780962,"A1",0.169335133212202,0.113421717512292,4.14341435185185,1,0.0241346849501802,NA,NA,NA
23,-0.642431366780962,"A1",0.61827772623638,0.113421717512292,4.14341435185185,1,0.0241346849501803,3,NA,NA
